date	wave_height	wave_direction	wind_wave_direction	predicted_latitude	predicted_longitude
2024-08-18 00:00:00+00:00	0.02	216.0	68.0	13.397044297914206	122.54531965793669
2024-08-18 01:00:00+00:00	0.02	215.0	101.0	13.385572770285606	122.5289366172403
2024-08-18 02:00:00+00:00	0.02	214.0	133.0	13.374388911436498	122.51235586607456
2024-08-18 03:00:00+00:00	0.02	213.0	166.0	13.363496132801473	122.49558245407044
2024-08-18 04:00:00+00:00	0.02	208.0	168.0	13.354106702516972	122.47792350144684
2024-08-18 05:00:00+00:00	0.02	203.0	171.0	13.346292080964147	122.45951340363919
2024-08-18 06:00:00+00:00	0.02	198.0	173.0	13.34011174147129	122.44049227254092
2024-08-18 07:00:00+00:00	0.02	200.0	167.0	13.333271338745206	122.42169842140376
2024-08-18 08:00:00+00:00	0.02	201.0	162.0	13.326103981259465	122.40302681194245
2024-08-18 09:00:00+00:00	0.02	203.0	156.0	13.31828935970664	122.38461671413481
2024-08-18 10:00:00+00:00	0.02	205.0	126.0	13.30983699453175	122.36649055981636
2024-08-18 11:00:00+00:00	0.02	208.0	97.0	13.30044756424725	122.34883160719275
2024-08-18 12:00:00+00:00	0.02	210.0	67.0	13.29044756540209	122.3315110990554
2024-08-18 13:00:00+00:00	0.02	212.0	71.0	13.279849180626869	122.31455013731122
2024-08-18 14:00:00+00:00	0.02	213.0	76.0	13.268956401991844	122.2977767253071
2024-08-18 15:00:00+00:00	0.02	215.0	80.0	13.257484874363243	122.28139368461072
2024-08-18 16:00:00+00:00	0.02	214.0	98.0	13.246301015514135	122.26481293344497
2024-08-18 17:00:00+00:00	0.02	214.0	117.0	13.235117156665027	122.24823218227922
2024-08-18 18:00:00+00:00	0.02	213.0	135.0	13.224224378030002	122.23145877027511
2024-08-18 19:00:00+00:00	0.02	209.0	142.0	13.214528184990584	122.2139663772434
2024-08-18 20:00:00+00:00	0.02	204.0	148.0	13.206393454830348	122.19569546745717
2024-08-18 21:00:00+00:00	0.02	200.0	155.0	13.199553052104264	122.17690161632001
2024-08-18 22:00:00+00:00	0.02	188.0	152.0	13.196769589699059	122.15709625573456
2024-08-18 23:00:00+00:00	0.04	176.0	149.0	13.199559848197921	122.11719369532167
2024-08-19 00:00:00+00:00	0.04	164.0	146.0	13.210585342162474	122.0787432269901
2024-08-19 01:00:00+00:00	0.04	161.0	150.0	13.223608066701516	122.04092248173058
2024-08-19 02:00:00+00:00	0.04	158.0	154.0	13.23859233446531	122.00383513064682
2024-08-19 03:00:00+00:00	0.04	155.0	158.0	13.255497066677734	121.96758282200992
2024-08-19 04:00:00+00:00	0.04	154.0	162.0	13.273031911255046	121.93163106234371
2024-08-19 05:00:00+00:00	0.04	153.0	167.0	13.29119153358154	121.89599080400168
2024-08-19 06:00:00+00:00	0.04	152.0	171.0	13.309970396013185	121.86067290247976
2024-08-19 07:00:00+00:00	0.04	151.0	162.0	13.329362778366729	121.82568811269104
2024-08-19 08:00:00+00:00	0.04	150.0	152.0	13.34936277978234	121.79104709641635
2024-08-19 09:00:00+00:00	0.04	149.0	143.0	13.369964301959797	121.75676040367782
2024-08-19 10:00:00+00:00	0.04	145.0	116.0	13.392907360942289	121.72399432601034
2024-08-19 11:00:00+00:00	0.04	141.0	88.0	13.418080181257054	121.69290849210321
2024-08-19 12:00:00+00:00	0.04	137.0	61.0	13.44536011330895	121.66365434432029
2024-08-19 13:00:00+00:00	0.04	137.0	60.0	13.472640045360848	121.63440019653737
2024-08-19 14:00:00+00:00	0.04	138.0	58.0	13.499405272678658	121.60467440651357
2024-08-19 15:00:00+00:00	0.04	138.0	57.0	13.526170499996468	121.57494861648976
2024-08-19 16:00:00+00:00	0.04	144.0	96.0	13.54968190975599	121.54258793608844
2024-08-19 17:00:00+00:00	0.04	151.0	135.0	13.569074292109534	121.50760314629972
2024-08-19 18:00:00+00:00	0.04	157.0	174.0	13.584703537077829	121.47078295068442
2024-08-19 19:00:00+00:00	0.04	156.0	162.0	13.600972999260946	121.43424113111197
2024-08-19 20:00:00+00:00	0.04	154.0	150.0	13.618507843838259	121.39828937144577
2024-08-19 21:00:00+00:00	0.04	153.0	138.0	13.636667466164752	121.36264911310374
2024-08-19 22:00:00+00:00	0.04	151.0	135.0	13.656059848518296	121.32766432331502
2024-08-19 23:00:00+00:00	0.02	149.0	133.0	13.666360609607025	121.31052097694575
2024-08-20 00:00:00+00:00	0.02	147.0	130.0	13.677253390104696	121.29374756680429
2024-08-20 01:00:00+00:00	0.02	149.0	137.0	13.687554151193424	121.27660422043502
2024-08-20 02:00:00+00:00	0.02	152.0	143.0	13.696943582409247	121.25894526967406
2024-08-20 03:00:00+00:00	0.02	154.0	150.0	13.705711004697903	121.24096938984096
2024-08-20 04:00:00+00:00	0.02	159.0	158.0	13.712878363114967	121.22229778037965
2024-08-20 05:00:00+00:00	0.02	164.0	165.0	13.718391110097244	121.20307254621386
2024-08-20 06:00:00+00:00	0.02	169.0	173.0	13.722207290261238	121.183440003708
2024-08-20 07:00:00+00:00	0.02	169.0	154.0	13.726023470425233	121.16380746120214
2024-08-20 08:00:00+00:00	0.02	170.0	135.0	13.72949643610157	121.14411130750179
2024-08-20 09:00:00+00:00	0.02	170.0	116.0	13.732969401777908	121.12441515380144
2024-08-20 10:00:00+00:00	0.02	141.0	92.0	13.74555581193529	121.10887223684787
2024-08-20 11:00:00+00:00	0.04	113.0	69.0	13.782376007550582	121.09324299187958
2024-08-20 12:00:00+00:00	0.04	84.0	45.0	13.822156885081156	121.0974241287224
